time,delta_D,curvat_trans,u,ax,ay,az
0.000000000000000000e+00,0.000000000000000000e+00,5.602576315769501077e-05,2.230605079338264929e+01,-4.151927308691759855e+00,2.787617322604789977e-02,0.000000000000000000e+00
4.999999999972715159e-02,0.000000000000000000e+00,5.628592170268140269e-05,2.209844767868634463e+01,-4.151882612369764303e+00,2.748674523089129906e-02,0.000000000000000000e+00
9.999999999945430318e-02,0.000000000000000000e+00,5.654644272447566147e-05,2.189087805946469345e+01,-4.150888813284547396e+00,2.709765147828880130e-02,0.000000000000000000e+00
1.500000000000909495e-01,0.000000000000000000e+00,5.680275757967271667e-05,2.168334927969793569e+01,-4.150386888707807920e+00,2.670681824868510051e-02,0.000000000000000000e+00
1.999999999998181011e-01,0.000000000000000000e+00,5.705719712304871166e-05,2.147582864962816629e+01,-4.150487965211548946e+00,2.631541927741050044e-02,0.000000000000000000e+00
2.500000000000000000e-01,-1.475433486096699954e-03,-8.654033016059259250e-06,2.529869652476287101e+01,4.968524220043206263e+00,-5.538789223875399681e-03,0.000000000000000000e+00
3.000000000001818989e-01,-3.095133251379100173e-03,-7.625806916483894677e-06,2.552409950803820138e+01,4.354159514600577374e+00,-4.968058064356900040e-03,0.000000000000000000e+00
3.499999999999090505e-01,-3.709921820634200056e-03,-1.150994800193161561e-05,2.575291219142064136e+01,4.876628587780633239e+00,-7.633541231993900417e-03,0.000000000000000000e+00
4.000000000000909495e-01,-3.412332300530100063e-03,-1.737011264870730223e-05,2.600810694855989880e+01,5.309955242620985949e+00,-1.174951985984089980e-02,0.000000000000000000e+00
4.499999999998181011e-01,-3.805016175870300135e-03,-2.498545207005158165e-05,2.628233995698343861e+01,5.650614303184577913e+00,-1.725898569199579846e-02,0.000000000000000000e+00
5.000000000000000000e-01,-3.706646438677400034e-03,-3.199631197374368295e-05,2.656814658954997910e+01,5.695464113939270767e+00,-2.258512196865669966e-02,0.000000000000000000e+00
5.500000000001818989e-01,-4.417748697118100212e-03,-3.866263935507383790e-05,2.684607045380470680e+01,5.390977412815720626e+00,-2.786460875757069966e-02,0.000000000000000000e+00
5.999999999999090505e-01,-4.691322015962199818e-03,-4.368879154307390316e-05,2.710447828794692171e+01,4.938083091592815776e+00,-3.209609055691149682e-02,0.000000000000000000e+00
6.500000000000909495e-01,-5.361024374638099881e-03,-4.793595814583620523e-05,2.735750265987880780e+01,5.251461645606278594e+00,-3.587685065174359839e-02,0.000000000000000000e+00
6.999999999998181011e-01,-5.348916570043499817e-03,-5.215767432624007858e-05,2.762943106575259833e+01,5.625523846294949060e+00,-3.981641026112039961e-02,0.000000000000000000e+00
7.500000000000000000e-01,-5.870472607622499901e-03,-5.747942615429031926e-05,2.792028348683593464e+01,6.013818103018564898e+00,-4.480764004258989963e-02,0.000000000000000000e+00
8.000000000001818989e-01,-5.900732592452299571e-03,-6.280116110805400529e-05,2.822896911261560504e+01,6.322104653788252371e+00,-5.004465623933999907e-02,0.000000000000000000e+00
