delta_w_avg	delta_sw
-36.768436855498	-720.000000000000
-36.025640151347	-705.750345659343
-35.282843447195	-691.500841890940
-34.540046743044	-677.251344515622
-33.797250038892	-663.001847146737
-33.054453334741	-648.752350166649
-32.311656630589	-634.502854294652
-31.568859926438	-620.253357998464
-30.826063222286	-606.003861894694
-30.083266518135	-591.754365911682
-29.340469813984	-577.504870032581
-28.597673109832	-563.255374264791
-27.854876405681	-548.888458488460
-27.112079701529	-534.486774553032
-26.369282997378	-520.085090718600
-25.626486293226	-505.683406986534
-24.883689589075	-491.281723355147
-24.140892884923	-476.880039823138
-23.398096180772	-462.478356389457
-22.655299476620	-448.076673053076
-21.912502772469	-433.674989812903
-21.169706068317	-419.273306667750
-20.426909364166	-404.871623614264
-19.684112660014	-390.332177475455
-18.941315955863	-375.722308931963
-18.198519251711	-361.112440459797
-17.455722547560	-346.502572067031
-16.712925843408	-331.892703751789
-15.970129139257	-317.282835511909
-15.227332435105	-302.672967345499
-14.484535730954	-288.063099250679
-13.741739026802	-273.453231225517
-12.998942322651	-258.843363268002
-12.256145618499	-244.233495375516
-11.513348914348	-229.500486986281
-10.770552210196	-214.717238049058
-10.027755506045	-199.933989151491
-9.284958801894	-185.150740300169
-8.542162097742	-170.367491492992
-7.799365393591	-155.584242727390
-7.056568689439	-140.800994000916
-6.313771985288	-126.017745311150
-5.570975281136	-111.234496655637
-4.828178576985	-96.451248031886
-4.085381872833	-81.667999437335
-3.342585168682	-66.825443064324
-2.599788464530	-51.975343918397
-1.856991760379	-37.125244779829
-1.114195056227	-22.275145648656
-0.371398352076	-7.425046522379
0.371398352076	7.425052601530
1.114195056227	22.275151725694
1.856991760379	37.125250852696
2.599788464530	51.975349985084
3.342585168682	66.825449125366
4.085381872833	81.668005474576
4.828178576985	96.451254073043
5.570975281136	111.234502690190
6.313771985288	126.017751338302
7.056568689439	140.801000019367
7.799365393591	155.584248735329
8.542162097742	170.367497488361
9.284958801894	185.150746280689
10.027755506045	199.933995114555
10.770552210196	214.717243992158
11.513348914348	229.500492915408
12.256145618499	244.233501239050
12.998942322651	258.843369127502
13.741739026802	273.453237061661
14.484535730954	288.063105062782
15.227332435105	302.672973132636
15.970129139257	317.282841272154
16.712925843408	331.892709482710
17.455722547560	346.502577765761
18.198519251711	361.112446122734
18.941315955863	375.722314554964
19.684112660014	390.332183063660
20.426909364166	404.871629102130
21.169706068317	419.273312123774
21.912502772469	433.674995218944
22.655299476620	448.076678408515
23.398096180772	462.478361692767
24.140892884923	476.880045071368
24.883689589075	491.281728544600
25.626486293226	505.683412112898
26.369282997378	520.085095776706
27.112079701529	534.486779536408
27.854876405681	548.888463392296
28.597673109832	563.255379039089
29.340469813984	577.504874720918
30.083266518135	591.754370502955
30.826063222286	606.003866394327
31.568859926438	620.253362393249
32.311656630589	634.502858498312
33.054453334741	648.752354708856
33.797250038892	663.001851024480
34.540046743044	677.251347444876
35.282843447195	691.500843969748
36.025640151347	705.750340598782
36.768436855498	719.999837331643
